음절   출현횟수   백분율   누적백분율
극      18914     0.0606    90.3227
담      18504     0.0592    90.3820
족      18457     0.0591    90.4411
억      18277     0.0585    90.4996
버      18048     0.0578    90.5574
순      17761     0.0569    90.6142
농      17598     0.0563    90.6706
별      17535     0.0561    90.7267
삼      17441     0.0558    90.7825
쟁      17339     0.0555    90.8380
율      17335     0.0555    90.8935
범      17277     0.0553    90.9488
길      17077     0.0547    91.0035
늘      17052     0.0546    91.0581
템      17041     0.0546    91.1127
져      17028     0.0545    91.1672
존      16981     0.0544    91.2215
접      16924     0.0542    91.2757
색      16909     0.0541    91.3299
너      16882     0.0540    91.3839
황      16861     0.0540    91.4379
막      16415     0.0526    91.4904
앞      16213     0.0519    91.5423
승      15993     0.0512    91.5935
침      15896     0.0509    91.6444
럼      15657     0.0501    91.6946
충      15535     0.0497    91.7443
돌      15265     0.0489    91.7932
찰      15195     0.0486    91.8418
림      15049     0.0482    91.8900
써      14962     0.0479    91.9379
송      14822     0.0475    91.9853
카      14660     0.0469    92.0323
손      14659     0.0469    92.0792
악      14572     0.0467    92.1258
씨      14473     0.0463    92.1722
코      14320     0.0458    92.2180
높      14200     0.0455    92.2635
참      14153     0.0453    92.3088
탄      14146     0.0453    92.3541
채      14096     0.0451    92.3992
렇      13870     0.0444    92.4436
창      13727     0.0439    92.4876
견      13571     0.0434    92.5310
쓰      13499     0.0432    92.5742
택      13209     0.0423    92.6165
잘      13203     0.0423    92.6588
겠      13156     0.0421    92.7009
줄      13063     0.0418    92.7427
폭      13022     0.0417    92.7844
워      12993     0.0416    92.8260
잡      12974     0.0415    92.8675
획      12816     0.0410    92.9086
균      12808     0.0410    92.9496
밀      12694     0.0406    92.9902
논      12610     0.0404    93.0306
누      12494     0.0400    93.0706
머      12389     0.0397    93.1102
겨      12280     0.0393    93.1496
갖      12266     0.0393    93.1888
염      12038     0.0385    93.2274
갈      12034     0.0385    93.2659
압      11953     0.0383    93.3042
쪽      11939     0.0382    93.3424
벌      11864     0.0380    93.3804
착      11826     0.0379    93.4182
완      11749     0.0376    93.4558
랑      11742     0.0376    93.4934
께      11585     0.0371    93.5305
희      11479     0.0367    93.5673
걸      11455     0.0367    93.6039
층      11387     0.0365    93.6404
큰      11337     0.0363    93.6767
친      11228     0.0359    93.7126
밝      10820     0.0346    93.7473
취      10807     0.0346    93.7819
액      10744     0.0344    93.8163
핵      10742     0.0344    93.8507
놓      10739     0.0344    93.8850
컴      10718     0.0343    93.9194
맞      10712     0.0343    93.9536
테      10687     0.0342    93.9879
졌      10687     0.0342    94.0221
허      10625     0.0340    94.0561
메      10594     0.0339    94.0900
네      10542     0.0337    94.1238
쳐      10424     0.0334    94.1571
왔      10359     0.0332    94.1903
베      10331     0.0331    94.2234
곡      10235     0.0328    94.2561
움      10226     0.0327    94.2889
혁      10201     0.0327    94.3215
왕      10143     0.0325    94.3540
뿐      10083     0.0323    94.3863
퓨       9668     0.0310    94.4172
글       9659     0.0309    94.4482
탈       9614     0.0308    94.4789
풍       9596     0.0307    94.5097
곳       9537     0.0305    94.5402
켜       9490     0.0304    94.5706
눈       9470     0.0303    94.6009
락       9450     0.0303    94.6311
뒤       9446     0.0302    94.6614
암       9387     0.0301    94.6914
좋       9290     0.0297    94.7212
밖       9175     0.0294    94.7505
애       9157     0.0293    94.7799
얼       9009     0.0288    94.8087
귀       8848     0.0283    94.8370
먹       8757     0.0280    94.8651
혼       8724     0.0279    94.8930
돼       8716     0.0279    94.9209
덕       8639     0.0277    94.9486
끝       8626     0.0276    94.9762
촉       8597     0.0275    95.0037
긴       8531     0.0273    95.0310
얻       8501     0.0272    95.0582
혀       8460     0.0271    95.0853
패       8430     0.0270    95.1123
폐       8423     0.0270    95.1393
죽       8321     0.0266    95.1659
럽       8295     0.0266    95.1925
째       8212     0.0263    95.2187
엔       8211     0.0263    95.2450
례       8209     0.0263    95.2713
홍       8207     0.0263    95.2976
됐       8150     0.0261    95.3237
티       8140     0.0261    95.3497
볼       8130     0.0260    95.3758
익       8122     0.0260    95.4018
득       8075     0.0259    95.4276
떤       7956     0.0255    95.4531
돈       7919     0.0254    95.4784
헌       7849     0.0251    95.5036
힘       7838     0.0251    95.5287
페       7777     0.0249    95.5536
찾       7768     0.0249    95.5784
윤       7581     0.0243    95.6027
끼       7553     0.0242    95.6269
융       7493     0.0240    95.6509
뜻       7405     0.0237    95.6746
델       7372     0.0236    95.6982
듯       7341     0.0235    95.7217
몇       7328     0.0235    95.7451
므       7286     0.0233    95.7685
났       7131     0.0228    95.7913
봉       7104     0.0227    95.8140
죄       7068     0.0226    95.8367
욱       7043     0.0225    95.8592
닌       7034     0.0225    95.8817
냐       7027     0.0225    95.9042
념       6953     0.0223    95.9265
훈       6695     0.0214    95.9479
님       6673     0.0214    95.9693
징       6620     0.0212    95.9905
둘       6566     0.0210    96.0115
풀       6506     0.0208    96.0323
엄       6490     0.0208    96.0531
웨       6480     0.0207    96.0738
넘       6471     0.0207    96.0946
률       6437     0.0206    96.1152
브       6435     0.0206    96.1358
떻       6430     0.0206    96.1564
즘       6411     0.0205    96.1769
칼       6405     0.0205    96.1974
커       6364     0.0204    96.2178
떠       6201     0.0199    96.2376
슬       6143     0.0197    96.2573
골       6060     0.0194    96.2767
틀       6027     0.0193    96.2960
빠       5968     0.0191    96.3151
값       5952     0.0191    96.3341
굴       5946     0.0190    96.3532
몰       5936     0.0190    96.3722
땅       5896     0.0189    96.3911
칙       5895     0.0189    96.4099
찬       5862     0.0188    96.4287
섬       5859     0.0188    96.4475
엇       5853     0.0187    96.4662
퇴       5837     0.0187    96.4849
몸       5827     0.0187    96.5035
탁       5816     0.0186    96.5222
녀       5778     0.0185    96.5406
케       5777     0.0185    96.5591
괴       5767     0.0185    96.5776
플       5762     0.0184    96.5961
봅       5742     0.0184    96.6144
팔       5742     0.0184    96.6328
싸       5729     0.0183    96.6512
렸       5729     0.0183    96.6695
앙       5668     0.0181    96.6876
객       5583     0.0179    96.7055
욕       5563     0.0178    96.7233
답       5508     0.0176    96.7410
롯       5507     0.0176    96.7586
숙       5497     0.0176    96.7762
릴       5480     0.0175    96.7937
략       5478     0.0175    96.8113
퍼       5423     0.0174    96.8286
즈       5383     0.0172    96.8459
싶       5368     0.0172    96.8631
왜       5359     0.0172    96.8802
곧       5351     0.0171    96.8973
흥       5271     0.0169    96.9142
좌       5234     0.0168    96.9310
꾸       5224     0.0167    96.9477
큼       5162     0.0165    96.9642
깨       5090     0.0163    96.9805
클       5068     0.0162    96.9967
떨       5032     0.0161    97.0129
킨       5022     0.0161    97.0289
센       4985     0.0160    97.0449
혹       4961     0.0159    97.0608
낮       4917     0.0157    97.0765
혔       4904     0.0157    97.0922
냉       4873     0.0156    97.1078
팀       4865     0.0156    97.1234
낸       4851     0.0155    97.1389
궁       4819     0.0154    97.1543
붙       4802     0.0154    97.1697
흡       4795     0.0154    97.1851
탕       4783     0.0153    97.2004
첫       4748     0.0152    97.2156
램       4741     0.0152    97.2308
옥       4739     0.0152    97.2459
척       4703     0.0151    97.2610
첨       4702     0.0151    97.2760
잠       4697     0.0150    97.2911
빈       4668     0.0149    97.3060
벽       4657     0.0149    97.3209
놀       4638     0.0148    97.3358
먼       4627     0.0148    97.3506
흐       4622     0.0148    97.3654
짐       4614     0.0148    97.3802
혈       4587     0.0147    97.3948
즉       4554     0.0146    97.4094
칠       4502     0.0144    97.4238
십       4406     0.0141    97.4379
널       4363     0.0140    97.4519
꽃       4354     0.0139    97.4659
픽       4301     0.0138    97.4796
턴       4271     0.0137    97.4933
섭       4228     0.0135    97.5068
닐       4215     0.0135    97.5203
션       4191     0.0134    97.5337
휴       4165     0.0133    97.5471
잔       4083     0.0131    97.5601
링       4072     0.0130    97.5732
씩       4061     0.0130    97.5862
갔       4006     0.0128    97.5990
곤       3944     0.0126    97.6116
휘       3931     0.0126    97.6242
끌       3892     0.0125    97.6367
짓       3879     0.0124    97.6491
킬       3853     0.0123    97.6614
넓       3755     0.0120    97.6735
맥       3741     0.0120    97.6854
믿       3737     0.0120    97.6974
칭       3704     0.0119    97.7093
납       3690     0.0118    97.7211
낙       3651     0.0117    97.7328
웃       3645     0.0117    97.7444
깊       3643     0.0117    97.7561
멀       3618     0.0116    97.7677
탐       3596     0.0115    97.7792
렬       3590     0.0115    97.7907
옛       3590     0.0115    97.8022
쇄       3552     0.0114    97.8135
렵       3519     0.0113    97.8248
갑       3518     0.0113    97.8361
넣       3513     0.0112    97.8473
쉽       3507     0.0112    97.8585
랜       3505     0.0112    97.8698
촌       3468     0.0111    97.8809
둔       3467     0.0111    97.8920
슨       3387     0.0108    97.9028
흔       3358     0.0108    97.9136
숨       3275     0.0105    97.9240
뢰       3223     0.0103    97.9344
녹       3192     0.0102    97.9446
뿌       3189     0.0102    97.9548
뛰       3179     0.0102    97.9650
혜       3161     0.0101    97.9751
묘       3078     0.0099    97.9849
짜       3075     0.0098    97.9948
펴       3071     0.0098    98.0046
읍       3066     0.0098    98.0144
헤       3057     0.0098    98.0242
쌀       3037     0.0097    98.0339
뇌       3031     0.0097    98.0436
콘       3025     0.0097    98.0533
밤       3000     0.0096    98.0629
켰       2992     0.0096    98.0725
룹       2970     0.0095    98.0820
춘       2955     0.0095    98.0915
맡       2954     0.0095    98.1009
텔       2948     0.0094    98.1104
빛       2946     0.0094    98.1198
벼       2932     0.0094    98.1292
읽       2926     0.0094    98.1386
벗       2911     0.0093    98.1479
블       2909     0.0093    98.1572
빨       2889     0.0092    98.1664
싱       2865     0.0092    98.1756
맹       2845     0.0091    98.1847
흘       2837     0.0091    98.1938
폴       2828     0.0091    98.2029
힌       2820     0.0090    98.2119
콜       2811     0.0090    98.2209
졸       2748     0.0088    98.2297
뜨       2708     0.0087    98.2384
듣       2700     0.0086    98.2470
쉬       2680     0.0086    98.2556
냈       2657     0.0085    98.2641
쿠       2649     0.0085    98.2726
딸       2621     0.0084    98.2810
잎       2609     0.0084    98.2893
쇠       2592     0.0083    98.2976
닥       2590     0.0083    98.3059
흑       2582     0.0083    98.3142
엘       2579     0.0083    98.3224
둥       2528     0.0081    98.3305
캐       2518     0.0081    98.3386
젊       2516     0.0081    98.3466
롭       2508     0.0080    98.3547
앉       2499     0.0080    98.3627
밑       2496     0.0080    98.3707
렌       2492     0.0080    98.3786
깔       2488     0.0080    98.3866
콩       2486     0.0080    98.3946
셈       2461     0.0079    98.4024
륙       2436     0.0078    98.4102
옷       2351     0.0075    98.4178
빌       2348     0.0075    98.4253
톱       2347     0.0075    98.4328
좀       2341     0.0075    98.4403
웅       2306     0.0074    98.4477
쌍       2303     0.0074    98.4550
묻       2288     0.0073    98.4624
웠       2284     0.0073    98.4697
츠       2281     0.0073    98.4770
잃       2275     0.0073    98.4843
벨       2275     0.0073    98.4915
엽       2255     0.0072    98.4988
됨       2249     0.0072    98.5060
쯤       2248     0.0072    98.5132
렀       2233     0.0071    98.5203
멸       2229     0.0071    98.5274
찍       2215     0.0071    98.5345
쳤       2214     0.0071    98.5416
혐       2213     0.0071    98.5487
솔       2183     0.0070    98.5557
푸       2181     0.0070    98.5627
첩       2174     0.0070    98.5696
슴       2169     0.0069    98.5766
붕       2146     0.0069    98.5835
잇       2127     0.0068    98.5903
랐       2127     0.0068    98.5971
닭       2126     0.0068    98.6039
빚       2121     0.0068    98.6107
묵       2068     0.0066    98.6173
톤       2046     0.0066    98.6238
끄       2041     0.0065    98.6304
찌       2033     0.0065    98.6369
꼭       2017     0.0065    98.6433
즐       2015     0.0065    98.6498
쓸       2008     0.0064    98.6562
뒷       2006     0.0064    98.6626
듭       1984     0.0064    98.6690
슈       1975     0.0063    98.6753
럴       1968     0.0063    98.6816
겪       1967     0.0063    98.6879
맛       1961     0.0063    98.6942
낼       1950     0.0062    98.7004
옮       1946     0.0062    98.7067
탑       1942     0.0062    98.7129
쓴       1933     0.0062    98.7191
몽       1905     0.0061    98.7252
겼       1894     0.0061    98.7312
빼       1894     0.0061    98.7373
핀       1883     0.0060    98.7433
룩       1873     0.0060    98.7493
슷       1857     0.0059    98.7553
늄       1850     0.0059    98.7612
홀       1840     0.0059    98.7671
꺼       1839     0.0059    98.7730
셨       1830     0.0059    98.7788
랄       1825     0.0058    98.7847
짝       1823     0.0058    98.7905
냥       1822     0.0058    98.7963
걱       1821     0.0058    98.8022
릇       1813     0.0058    98.8080
듬       1800     0.0058    98.8137
늦       1789     0.0057    98.8195
낭       1778     0.0057    98.8252
굳       1748     0.0056    98.8308
컨       1720     0.0055    98.8363
삭       1715     0.0055    98.8417
튼       1713     0.0055    98.8472
꼬       1708     0.0055    98.8527
쥐       1689     0.0054    98.8581
핑       1689     0.0054    98.8635
랍       1684     0.0054    98.8689
밥       1683     0.0054    98.8743
꿈       1639     0.0052    98.8795
삶       1629     0.0052    98.8848
